nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
ARCONIC INC	COM	03965L100	508	26607	SH	DFND	26607	0	0
ARCONIC INC	COM	03965L100	38	2000	SH	DFND	2000	0	0
ARCONIC INC	COM	03965L100	736	38500	SH	DFND	38500	0	0
ARCOS DORADOS HOLDINGS INC 	SHS CLASS -A -	G0457F107	33	4626	SH	DFND	4626	0	0
ARCOS DORADOS HOLDINGS INC 	SHS CLASS -A -	G0457F107	82	11400	SH	DFND	11400	0	0
ARCOSA INC	COM	039653100	252	8243	SH	DFND	8243	0	0
ARCOSA INC	COM	039653100	131	4300	SH	DFND	4300	0	0
ARCOSA INC	COM	039653100	486	15900	SH	DFND	15900	0	0
ARDMORE SHIPPING CORP 	COM	Y0207T100	32	5135	SH	DFND	5135	0	0
ARDMORE SHIPPING CORP 	COM	Y0207T100	168	27300	SH	DFND	27300	0	0
ARENA PHARMACEUTICALS INC 	COM NEW	040047607	330	7350	SH	DFND	7350	0	0
ARENA PHARMACEUTICALS INC 	COM NEW	040047607	1009	22500	SH	DFND	22500	0	0
ARES CAP CORP	COM	04010L103	1632	95200	SH	DFND	95200	0	0
ARES CAP CORP	COM	04010L103	9	500	SH	DFND	500	0	0
ARGAN INC	COM	04010E109	814	16300	SH	DFND	16300	0	0
ARGAN INC	COM	04010E109	534	10700	SH	DFND	10700	0	0
ARISTA NETWORKS INC	COM	040413106	11195	35600	SH	DFND	35600	0	0
ARISTA NETWORKS INC	COM	040413106	36477	116000	SH	DFND	116000	0	0
ARLO TECHNOLOGIES INC	COM	04206A101	67	16259	SH	DFND	16259	0	0
ARLO TECHNOLOGIES INC	COM	04206A101	165	40000	SH	DFND	40000	0	0
ARMSTRONG WORLD INDS INC NEW 	COM	04247X102	8490	106900	SH	DFND	106900	0	0
ARMSTRONG WORLD INDS INC NEW 	COM	04247X102	5869	73900	SH	DFND	73900	0	0
ARRAY BIOPHARMA INC 	COM	04269X105	806	33042	SH	DFND	33042	0	0
ARRAY BIOPHARMA INC 	COM	04269X105	4230	173500	SH	DFND	173500	0	0
ARROW ELECTRS INC 	COM	042735100	555	7200	SH	DFND	7200	0	0
ARTISAN PARTNERS ASSET MGMT 	CL A	04316A108	1280	50862	SH	DFND	50862	0	0
ARTISAN PARTNERS ASSET MGMT 	CL A	04316A108	3511	139500	SH	DFND	139500	0	0
ASA GOLD AND PRECIOUS MTLS L 	SHS	G3156P103	67	6500	SH	DFND	6500	0	0
ASA GOLD AND PRECIOUS MTLS L 	SHS	G3156P103	122	11900	SH	DFND	11900	0	0
ASBURY AUTOMOTIVE GROUP INC	COM	043436104	6652	95909	SH	DFND	95909	0	0
ASGN INC	COM	00191U102	775	12201	SH	DFND	12201	0	0
